I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
43.12,62.616,20.784,-51.568,10.608,42.2,14.552,197.784,131.89600000000002,72.936,28.840000000000003,26.256
37.12,54.616,17.784,-44.568,9.608,36.2,18.552,181.784,116.896,61.93600000000001,21.840000000000003,20.256
31.119999999999997,45.616,14.783999999999999,-37.568,7.608,30.200000000000003,21.552,165.784,100.896,50.93600000000001,13.840000000000003,14.256
25.119999999999997,36.616,11.783999999999999,-30.567999999999998,6.608,24.200000000000003,24.552,149.784,85.896,39.93600000000001,6.840000000000003,8.256
19.119999999999997,27.616,8.783999999999999,-22.567999999999998,4.608,18.200000000000003,28.552,134.784,70.896,28.936000000000007,-0.1599999999999966,2.2560000000000002
13.119999999999997,18.616,5.783999999999999,-15.567999999999998,3.6079999999999997,12.200000000000003,31.552,118.78399999999999,55.896,17.936000000000007,-7.159999999999997,-3.7439999999999998
10.119999999999997,14.616,3.783999999999999,-12.567999999999998,2.6079999999999997,9.200000000000003,28.552,108.78399999999999,46.896,12.936000000000007,-11.159999999999997,-7.744
7.119999999999997,10.616,2.783999999999999,-9.567999999999998,1.6079999999999997,7.200000000000003,25.552,99.78399999999999,39.896,6.936000000000007,-14.159999999999997,-10.744
4.119999999999997,7.616,1.783999999999999,-6.567999999999998,1.6079999999999997,5.200000000000003,22.552,89.78399999999999,31.896,1.936000000000007,-18.159999999999997,-13.744
1.1199999999999974,3.6159999999999997,0.7839999999999989,-3.567999999999998,0.6079999999999997,3.200000000000003,19.552,80.78399999999999,24.896,-3.063999999999993,-22.159999999999997,-16.744
-1.8800000000000026,-0.38400000000000034,-0.21600000000000108,-0.5679999999999978,0.6079999999999997,0.20000000000000284,15.552,71.78399999999999,16.896,-9.063999999999993,-25.159999999999997,-20.744
-3.8800000000000026,-4.384,-1.216000000000001,2.432000000000002,-0.39200000000000035,-1.7999999999999972,12.552,62.784,9.896,-14.063999999999993,-29.159999999999997,-23.744
-6.880000000000003,-7.384,-2.216000000000001,5.432000000000002,-0.39200000000000035,-3.799999999999997,9.552,52.784,1.8960000000000008,-19.063999999999993,-32.16,-26.744
-7.880000000000003,-9.384,-3.216000000000001,7.432000000000002,-1.3920000000000003,-5.799999999999997,10.552,46.784,-3.103999999999999,-24.063999999999993,-34.16,-27.744
-8.880000000000003,-11.384,-4.216000000000001,9.432000000000002,-1.3920000000000003,-6.799999999999997,13.552,41.784,-8.104,-28.063999999999993,-36.16,-27.744
